rank,blader,torneos,matches,wins,losses,points_for,points_against,bonus,warnings,total
1,Yorch,15,145,96,49,519,317,444,0,646
2,Woonka,14,150,94,56,484,353,352,0,483
3,Kanghy,16,157,87,70,505,417,392,0,480
4,Raines,12,117,73,44,429,311,347,0,465
5,Zirox,16,138,78,60,440,354,352,0,438
6,Kaiser,12,116,70,46,416,323,286,0,379
7,Baco,16,149,81,68,479,413,304,0,370
8,RADD,12,107,69,38,370,268,241,0,343
9,Raphaeru,10,91,56,35,305,222,237,0,320
10,Wolf,10,99,55,44,330,266,240,0,304
11,ProdyQ,13,125,67,58,369,353,283,0,299
12,Panda,8,65,36,29,269,223,237,0,283
13,Jiji,7,62,36,26,193,172,206,0,227
14,Scorpio,5,71,40,31,210,169,153,0,194
15,C J,11,97,60,37,269,270,178,0,177
16,Dimetrodon,7,50,27,23,139,144,181,0,176
17,King,10,75,41,34,231,221,159,0,169
18,Gurren Iann,6,44,23,21,133,125,153,0,161
19,Pejex,10,67,29,38,195,204,166,0,157
20,Bubbles,10,81,33,48,198,236,181,0,143
21,Krizia Olmos,10,77,42,35,224,230,141,0,135
22,Sombra,10,75,33,42,196,226,131,0,101
23,Kurenai,9,71,27,44,193,230,138,0,101
24,Parzival,4,40,21,19,95,103,98,0,90
25,Asuma,2,7,4,3,79,50,59,0,88
26,Mia Blader,3,35,20,15,107,86,51,0,72
27,Sollux,15,100,37,63,248,332,154,0,70
28,Rex1243,5,35,17,18,99,111,74,0,62
29,Julio Jaen,1,13,6,7,37,37,60,0,60
30,Metaman,3,21,9,12,55,60,58,0,53
31,Bellota,6,32,13,19,87,107,72,0,52
32,Geovane NG,3,22,10,12,63,64,53,0,52
33,Diego Q.,3,21,10,11,61,61,52,0,52
34,Gengar,6,31,15,16,86,100,59,0,45
35,Savinon Sr,2,15,7,8,42,43,45,0,44
36,Nova,3,22,8,14,60,66,46,0,40
37,Miguel de sedas,2,18,11,7,55,44,28,0,39
38,Savinon Jr,2,13,5,8,41,32,28,0,37
39,Zero,2,13,7,6,43,41,30,0,32
40,Kai,5,29,11,18,76,100,55,0,31
41,Alejandro LUNA,1,7,4,3,23,17,25,0,31
42,Damir,2,18,10,8,50,57,36,0,29
43,Twilight,5,36,15,21,92,120,56,0,28
44,Johanes V.,2,10,6,4,32,27,23,0,28
45,Lance,2,12,7,5,40,36,23,0,27
46,Aletaco,1,6,4,2,17,16,25,0,26
47,Hannie,1,8,5,3,21,20,21,0,22
48,Juan Davild,2,9,3,6,23,20,18,0,21
49,Samux,1,11,6,5,29,33,21,0,17
50,juan diego,1,11,5,6,29,34,21,0,16
51,Superior Slayer,1,5,2,3,21,28,21,0,14
52,Arkham,2,17,5,12,41,50,23,0,14
53,Chris,1,7,3,4,22,22,13,0,13
54,Niko,1,5,3,2,16,14,10,0,12
55,Papi Jake,3,20,6,14,50,70,31,0,11
56,Alphangel,4,20,4,16,43,69,36,0,10
57,JohnnyX,1,7,3,4,21,22,10,0,9
58,Diogenes E.,1,4,2,2,11,12,10,0,9
59,Ignacio,1,4,1,3,13,9,5,0,9
60,SIr Lancelot,1,3,1,2,8,9,10,0,9
61,Jorge Valdes,3,21,7,14,38,69,39,0,8
62,Emmanuel,1,3,1,2,7,9,10,0,8
63,Ana Carolina,2,11,4,7,21,37,23,0,7
64,Maleantin,1,6,1,5,12,12,5,0,5
65,Bastan,1,3,1,2,6,12,10,0,4
67,Edson,1,6,2,4,15,17,5,0,3
68,Ramses,1,8,3,5,21,26,7,0,2
69,Zahik,2,7,1,6,10,25,15,0,0
70,Isaias S.,1,4,1,3,5,15,10,0,0
71,Ceferino Sr.,2,8,2,6,15,26,10,0,-1
72,Tomyyaser,1,6,2,4,13,20,5,0,-2
73,Salomon Nieto,1,5,1,4,5,17,10,0,-2
74,Noah Herbert,1,5,2,3,11,19,5,0,-3
75,Alejandro Jaen,1,5,1,4,11,19,5,0,-3
76,Joel Caballero,1,4,0,4,5,18,10,0,-3
77,Alejandro D.,1,4,0,4,3,16,10,0,-3
78,Ethan Mendoza,2,9,2,7,14,34,15,0,-5
79,Javier Abrego,1,5,1,4,9,19,5,0,-5
80,aeloz Cogley,1,5,1,4,8,18,5,0,-5
81,Wistom Mendez,1,5,1,4,8,19,5,0,-6
82,Alesito33,1,4,0,4,3,19,10,0,-6
83,Abraham Garcia,3,20,6,14,35,71,28,0,-8
84,Cerferino Jr.,2,10,3,7,11,29,10,0,-8
85,Cristofer Scott,1,5,0,5,2,21,10,0,-9
86,Lukas Axel,1,5,1,4,6,20,5,0,-9
87,Fernando,1,4,0,4,2,17,5,0,-10
88,Lore,1,4,0,4,0,16,5,0,-11
89,Alex,2,18,3,15,34,69,23,0,-12
90,Lazuli,1,5,0,5,5,22,5,0,-12
91,Sonico,1,6,0,6,6,25,5,0,-14
92,Rebecca,1,6,0,6,5,26,5,0,-16
93,Juanita,5,25,6,19,49,96,30,0,-17
94,Nessa,2,10,2,8,16,52,18,0,-18
95,David Navarro,1,5,0,5,1,24,5,0,-18
96,Danilo,1,6,0,6,0,24,5,0,-19
